NameSeries;Series;Ряд скользящих средних;Разница между исходным рядом и рядом скользящих средних;Сезонный фактор
Q11900;2
Q21900;2
Q31900;2
Q41900;6
Q11901;1
Q21901;3
Q31901;4;2,91666666666667;1,08333333333333;1,15740740740741
Q41901;4;3,04166666666667;0,958333333333333;-0,332175925925926
Q11902;1;3,25;-2,25;-0,103009259259259
Q21902;3;3,20833333333333;-0,208333333333333;1,16782407407407
Q31902;2;3,04166666666667;-1,04166666666667;0,688657407407408
Q41902;4;3,04166666666667;0,958333333333333;-0,363425925925926
Q11903;4;2,95833333333333;1,04166666666667;-1,12384259259259
Q21903;3;2,79166666666667;0,208333333333333;-0,384259259259259
Q31903;6;2,83333333333333;3,16666666666667;0,292824074074074
Q41903;1;3;-2;-0,280092592592593
Q11904;2;3,08333333333333;-1,08333333333333;-0,172453703703704
Q21904;2;3,04166666666667;-1,04166666666667;-0,547453703703704
Q31904;3;2,79166666666667;0,208333333333333;1,15740740740741
Q41904;1;2,66666666666667;-1,66666666666667;-0,332175925925926
Q11905;5;2,54166666666667;2,45833333333333;-0,103009259259259
Q21905;3;2,66666666666667;0,333333333333333;1,16782407407407
Q31905;4;2,95833333333333;1,04166666666667;0,688657407407408
Q41905;1;3,04166666666667;-2,04166666666667;-0,363425925925926
Q11906;1;3,25;-2,25;-1,12384259259259
Q21906;3;3,58333333333333;-0,583333333333333;-0,384259259259259
Q31906;3;3,625;-0,625;0,292824074074074
Q41906;7;3,70833333333333;3,29166666666667;-0,280092592592593
Q11907;3;3,95833333333333;-0,958333333333333;-0,172453703703704
Q21907;3;4,08333333333333;-1,08333333333333;-0,547453703703704
Q31907;7;4,25;2,75;1,15740740740741
Q41907;5;4,375;0,625;-0,332175925925926
Q11908;2;4,375;-2,375;-0,103009259259259
Q21908;8;4,16666666666667;3,83333333333333;1,16782407407407
Q31908;5;4,08333333333333;0,916666666666667;0,688657407407408
Q41908;3;4,20833333333333;-1,20833333333333;-0,363425925925926
Q11909;3;4,125;-1,125;-1,12384259259259
Q21909;4;3,875;0,125;-0,384259259259259
Q31909;2;3,875;-1,875;0,292824074074074
Q41909;3;3,83333333333333;-0,833333333333333;-0,280092592592593
Q11910;5;3,66666666666667;1,33333333333333;-0,172453703703704
Q21910;4;3,70833333333333;0,291666666666667;-0,547453703703704
Q31910;4;3,66666666666667;0,333333333333333;1,15740740740741
Q41910;2;3,5;-1,5;-0,332175925925926
Q11911;5;3,5;1,5;-0,103009259259259
Q21911;4;3,54166666666667;0,458333333333333;1,16782407407407
Q31911;5;3,41666666666667;1,58333333333333;0,688657407407408
Q41911;4;3,41666666666667;0,583333333333333;-0,363425925925926
Q11912;1;3,41666666666667;-2,41666666666667;-1,12384259259259
Q21912;2;3,54166666666667;-1,54166666666667;-0,384259259259259
Q31912;4;3,75;0,25;0,292824074074074
Q41912;2;3,83333333333333;-1,83333333333333;-0,280092592592593
Q11913;3
Q21913;6
Q31913;2
Q41913;7
Q11914;5
Q21914;6

